wreck_id,obstruction_type,lat,lon,water_depth,original_date
85167,foul area,33.51225,35.32833,18,2016
85171,foul area,33.51207,35.33447,15,2016
85173,foul area,33.51243,35.33843,15,2016
85179,foul area,33.50848,35.33827,9,2016
85181,foul area,33.50708,35.33867,6,2016
85177,foul area,33.50965,35.33688,13,2016
85169,foul area,33.51393,35.33155,18,2016
85183,foul area,33.50995,35.34293,7,2016
85184,foul area,33.5102,35.34982,2,2016
83207,foul area,50.33465,-4.14907,9,20150501
83299,foul area,41.1428,16.86425,10,"2015
"
30597,foul ground,54.685,10.615,20,1990
81874,,13.00373,42.74425,2,2014
79117,,50.61532,-2.34448,19,2012
82561,foul area,-0.66368,8.76877,27,2015
82713,,-0.59247,8.80253,55,2015
82699,,-0.66625,8.81792,27,2015
82655,,-0.6625,8.76582,27,2015
82717,,-0.65633,8.80695,27,2015
60095,,49.35182,-0.60423,1,1944
35278,foul ground,36.14933,-5.41992,42,1993
72642,foul ground,48.62443,-2.47772,0,2008
35283,foul ground,36.13678,-5.36853,40,1992
60109,foul ground,49.35218,-0.63275,4,1997
35277,foul ground,36.14112,-5.40938,70,1994
26240,,47.71293,-3.36323,12,1947
60094,foul ground,49.35517,-0.62957,8,1997
26987,,45.06505,-0.62693,1,1952
27087,foul ground,44.66857,-1.16018,15,1991
34949,foul ground,36.12577,-5.43022,2,1986
59264,foul ground,36.13095,-5.37565,62,1989
57222,foul ground,13.00547,42.74688,1,1998
65048,foul ground,52.15717,4.23567,14,2004
55528,,69.04728,33.03978,4,1996
81450,,69.03345,33.02602,0,2014
57524,foul ground,53.99505,7.17205,27,1999
66384,foul ground,55.04687,9.46698,2,2004
65782,,68.06353,39.51065,10,2005
55157,foul ground,67.31193,14.4,60,1975
55194,,68.23267,14.54352,20,1957
30596,foul ground,54.7625,10.5125,20,1992
23746,,49.65267,-1.58475,0,1987
23722,,49.65287,-1.5849,0,1987
92009,,10.71103,122.59427,1,2019
92008,,10.71082,122.59418,1,2019
56826,foul ground,-51.69107,-57.85938,2,1853
56953,foul ground,-51.69107,-57.85938,2,1856
56684,foul ground,-54.15042,-36.67128,85,1997
56679,foul ground,-54.14407,-36.67703,53,1995
51595,,-38.93135,-62.07362,8,1978
30898,foul ground,54.59583,13.85,22,1977
89797,,17.97395,-76.82108,1,2018
25741,,48.28533,-4.41552,5,1995
81790,foul ground,37.12143,26.8419,32,2014
81812,foul ground,37.11368,26.83588,40,2014
81806,foul ground,37.11367,26.8298,57,2014
81792,foul ground,37.11895,26.83748,39,2014
25740,,48.28665,-4.41567,3,1995
81791,foul ground,37.11878,26.8357,41,2014
25739,,48.28812,-4.41653,4,1995
81808,,37.1126,26.83428,42,2014
65375,,37.12507,26.84983,32,2009
73759,,37.12423,26.84965,29,2009
89602,,6.8255,-58.19478,-1,20180716
52783,,12.90115,-61.1791,1,1971
35900,,43.08338,5.92708,15,1969
36516,,43.2699,5.30517,30,1994
59068,,43.07283,5.95447,35,2000
90309,,43.07543,5.99398,57,2018
77801,,43.08527,5.91308,12,2010
36353,,43.10088,5.91543,22,1988
86777,,43.0821,5.92785,4,2016
59066,,43.08358,5.92852,5,1969
68354,,43.11358,5.90087,10,2006
36304,,43.10808,5.89725,10,1988
71528,foul area,43.11387,5.91148,11,2008
67223,,43.11533,5.91282,8,2005
35933,,43.11528,5.92607,10,1975
80329,,43.11748,5.91272,7,2013
36362,,43.09437,5.92425,9,1988
36355,,43.10053,5.92117,12,1988
36650,,43.10425,5.90532,11,1998
67692,,37.59655,-0.97773,12,2006
86800,,37.58547,-0.98447,13,2017
88597,,35.49037,24.06997,2,2017
88598,,35.49,24.06938,2,2017
86344,,34.46993,35.83867,9,2016
38954,foul ground,35.45457,24.20328,7,1949
38969,,35.48968,24.11028,105,1963
38953,foul ground,35.45722,24.20473,16,1953
38949,,35.47303,24.13495,80,1963
89542,,69.0256,33.06133,16,2018
82478,,69.05102,33.07835,12,2015
82477,,69.05048,33.07745,15,2015
89541,,69.02517,33.05867,14,2018
20560,,50.78985,0.33637,0,1940
38941,foul ground,35.49747,24.07495,8,1948
38940,,35.50173,24.10463,50,1959
86476,,37.70852,24.06853,26,2016
84495,foul ground,53.56195,7.0103,0,2016
84494,foul ground,53.54432,7.02135,0,2016
88885,,17.90087,-62.86222,13,2017
88059,,-15.72762,46.30563,-1,2017
88139,,3.20833,106.19167,30,2017
86943,,26.52437,-78.76273,2,2016
86621,,50.19412,1.41038,6,2016
63245,,45.1978,-0.70003,0,2003
65380,,6.42032,3.39807,7,1999
19233,foul ground,50.8156,-1.1182,1,1926
62471,,9.52457,-13.70708,1,1986
84141,snag/stump,49.4737,0.12723,5,2015
86343,,34.4661,35.83177,7,2016
87467,,34.46662,35.82825,7,2017
81873,,54.00457,-2.96487,8,2014
82394,foul ground,20.15407,92.91973,1,2009
85434,,54.63408,19.96015,5,2011
85441,,54.68505,20.22132,0,2015
85451,foul ground,51.49225,0.00235,0,2016
58356,,48.08677,-4.3337,1,1999
85634,foul area,4.99313,115.12673,2,2016
10843,foul ground,52.9472,1.27612,5,1993
58191,foul ground,50.81105,-1.11538,1,1994
65487,,42.62778,3.07338,23,2004
86359,,42.6112,3.06502,22,2016
40828,,34.2772,-6.58877,2,1945
86347,,34.49607,35.79155,23,2016
85164,foul area,33.57017,35.37657,3,2016
79154,foul ground,43.62778,13.5016,6,2012
92292,,69.07998,33.20047,10,2019
92291,,69.08037,33.19905,0,2019
79077,,69.0809,33.20272,10,2012
60643,,69.05785,33.20517,10,2002
70493,,69.05662,33.20552,0,2007
70492,,69.05555,33.2049,-2,2007
70494,,69.05677,33.20628,-1,2007
70491,,69.05555,33.2043,-1,2007
60645,,69.05555,33.2026,15,2002
46050,,1.44727,103.69203,0,1990
92734,,48.36422,-4.50923,5,2019
85723,,48.37785,-4.48422,7,2016
85720,,48.37913,-4.48332,7,2016
92749,,48.37822,-4.48058,6,2019
85561,,48.36962,-4.48777,15,2016
85732,,48.37925,-4.47548,7,2016
85730,,48.37877,-4.47545,7,2016
89421,,48.37873,-4.47495,7,2018
85726,,48.37847,-4.47862,7,2016
39152,,36.71683,24.44318,43,1946
34003,,59.43967,10.65645,37,1971
88047,foul area,59.45568,24.73227,4,2017
38471,foul ground,39.63307,19.92677,26,1974
61747,foul ground,39.63763,19.91635,25,1997
85883,,51.05123,2.17635,15,2016
75149,,6.4275,3.38138,1,2009
55112,foul ground,64.79112,11.02473,30,1973
57840,,37.2482,9.83345,3,1999
57838,,37.24903,9.83388,2,1999
36667,,37.25505,9.86832,1,1983
57898,,37.25352,9.94703,0,1999
57839,,37.24847,9.83365,3,1999
19358,foul ground,50.68075,-1.98823,-2,1980
17653,,50.32223,-4.65173,1,1937
23261,foul ground,49.45755,-2.52573,4,1930
77984,foul ground,50.49467,-5.29033,49,2011
17682,,50.35377,-4.15612,1,1965
19438,foul ground,50.7105,-1.79672,7,1962
19077,foul ground,50.6982,-1.88957,7,1962
58275,foul ground,50.74552,-0.72747,5,1947
19480,foul ground,50.79763,-1.11978,-3,1982
73081,,50.15448,-5.05817,7,2009
19382,,50.80305,-1.13302,-3,1981
17658,foul ground,50.32863,-4.17073,13,1940
18197,foul ground,50.39227,-3.57523,-2,1943
19373,foul ground,50.7656,-1.29857,0,1980
17870,,50.36517,-4.10903,-1,1978
58650,,50.36412,-4.10972,-1,1978
73080,,50.15558,-5.05798,6,2009
19129,foul ground,50.7376,-1.09897,3,1978
10727,foul ground,52.31347,1.6737,-1,1984
8579,foul ground,53.86883,-0.06613,10,1998
5763,,54.99082,-1.46987,-2,1981
12692,foul ground,51.39002,0.71688,-5,1979
5761,,54.99055,-1.47105,-2,1981
13392,foul ground,51.48143,0.20803,-3,1998
67023,foul ground,51.38993,0.71568,-5,2003
12689,foul ground,51.38865,0.69935,-4,1968
5614,foul ground,54.67115,-1.13193,13,1974
12788,foul ground,51.46052,0.4549,-3,1970
13391,foul ground,51.48073,0.20315,-3,1998
13083,foul ground,51.47208,0.32185,-2,1991
90220,foul ground,52.99558,0.37917,20,2018
71045,,54.5818,5.4377,42,2007
71046,,54.61425,6.16335,40,2007
62720,,51.32367,0.90562,-3,1998
10138,,52.9415,0.0919,-4,1967
13377,,51.3565,0.98793,-1,1997
43379,foul ground,27.07783,49.88525,38,1982
36669,,37.25383,9.94505,0,1983
36670,,37.252,9.94868,0,1984
87665,,59.12425,22.99547,13,2017
34077,,59.15053,22.97233,11,1988
84810,foul area,54.4689,13.64155,15,2016
84816,foul area,54.59123,13.58472,15,2016
85068,,60.62945,28.55228,2,2016
80262,,12.79465,44.99933,0,2011
44520,foul ground,8.77792,78.22577,10,1977
45060,foul ground,16.74308,96.1964,5,1986
45041,foul ground,16.75543,96.17742,2,1947
42815,foul ground,13.00575,42.74693,2,1998
44523,foul ground,8.77083,78.22568,10,1961
80261,,12.80063,45.01738,2,2011
69441,,29.66725,48.78753,14,2006
44614,foul ground,8.5627,81.19465,8,1950
43871,,26.63513,50.16702,4,1996
43872,,26.62857,50.16763,6,1996
79957,,14.83143,42.93295,3,2013
44629,,8.54855,81.21525,36,1946
67830,,12.80425,45.00408,3,2006
76082,,24.53075,54.40212,6,2005
50490,,34.48403,127.0914,28,1983
50826,,39.8984,119.59083,5,1981
52609,,10.63493,-61.50612,1,1985
61522,,28.85588,-13.76233,23,2002
39591,foul ground,37.11235,26.82932,55,1956
58668,foul ground,35.49642,24.0955,25,1983
39248,foul ground,35.47905,24.15918,31,1997
80217,,36.5835,35.21292,12,2013
39592,foul ground,37.11193,26.83233,30,1956
38844,foul ground,36.9148,21.68422,53,1968
79202,,39.56067,26.72983,35,2012
39217,foul ground,37.51932,23.41278,25,1995
39586,foul ground,37.12715,26.85512,11,1956
79203,,39.56183,26.75408,32,2012
39249,foul ground,35.47433,24.1686,30,1997
70642,,32.11097,20.03712,2,2006
79204,,39.56267,26.77208,23,2012
70644,,32.11017,20.03732,2,2006
59292,foul ground,49.93868,0.94402,12,1992
80441,,39.57308,26.9025,21,2013
70643,,32.11067,20.03718,2,2006
44899,,20.15408,92.91857,2,1949
64692,foul ground,28.14883,48.74458,8,1996
64508,foul ground,28.40933,48.93317,21,2003
41510,,8.54333,-13.29892,23,1940
41306,foul ground,14.71625,-17.33083,8,1969
41686,foul ground,6.42742,3.33673,9,1984
62224,foul ground,6.42795,3.36147,3,1984
61926,,-0.65817,8.83433,25,2003
41685,foul ground,6.42967,3.33092,5,1984
58086,foul ground,4.438,7.15667,12,1996
62215,,6.43438,3.36362,3,1966
74518,,4.97903,8.32402,3,2009
53970,,25.08717,-77.36058,2,1988
67123,foul area,9.52625,-13.7177,2,2004
57940,foul ground,5.21333,-4.125,30,1999
53020,foul ground,16.70792,-62.2243,4,1990
54015,,32.3062,-64.81667,1,1959
54019,,32.28198,-64.80077,1,1926
67955,,16.80063,-62.20697,3,2006
53971,foul ground,25.08692,-77.36167,2,1986
54029,foul ground,32.37497,-64.62743,14,1955
52637,,13.9846,-61.0136,7,1982
70635,,32.10645,20.04043,4,2006
25756,,48.88727,-3.3117,46,1978
50034,,11.64747,165.38027,15,1987
36101,foul ground,43.40898,6.74497,20,1972
37368,,40.82822,14.10747,5,1994
35577,,43.04608,3.11073,20,1987
36703,,37.16188,9.81545,6,1979
35576,,43.09583,3.13667,16,1987
68942,foul ground,43.89443,13.00248,12,2006
35555,,43.38102,4.9179,1,1986
36118,,43.70367,7.34617,35,1987
35623,,42.62272,3.0708,24,1988
35609,,42.72353,3.07083,28,1988
36702,,37.15567,9.82228,5,1958
69451,,40.54875,14.85787,30,2007
78050,,43.0084,3.07797,9,2011
60855,,43.41715,4.5187,12,2002
78095,,43.28117,3.26925,1,2011
68781,foul ground,43.401,13.75325,12,2006
58360,foul ground,43.53858,4.06967,10,2000
58355,foul ground,43.51108,3.98758,15,2000
68602,,40.83698,14.28098,4,2005
35556,,43.37803,4.9175,1,1985
58354,foul ground,43.48775,3.90175,20,2000
58806,foul ground,41.08917,1.26525,36,2000
79097,foul ground,40.47455,17.20422,5,2012
73082,,42.67083,3.12083,38,2009
76437,,40.32262,8.41548,13,2010
73841,,38.98133,17.20433,50,2009
58359,foul ground,43.52525,4.04508,10,2000
35844,foul ground,43.41277,6.7439,5,1984
60688,,36.61725,-6.31372,2,2001
40960,foul ground,28.15542,-15.40237,20,1983
75429,,44.57442,-1.22983,10,2010
75428,,44.568,-1.23642,8,2010
84079,,13.8519,120.34283,27,2015
84084,,13.87707,120.3441,27,2015
84091,,13.8442,120.35442,31,2015
84449,foul area,35.51097,12.6318,25,2015
17874,foul ground,50.36337,-4.14513,2,1981
84868,foul area,56.1813,-4.7842,36,2015
87719,,53.9039,10.76323,3,2017
87718,,53.90163,10.76467,2,2017
87723,,59.58242,25.70478,1,2017
1996,,57.26333,-5.69032,-1,1974
83952,foul area,54.0907,8.93967,1,2015
87951,,-34.70413,-54.17168,21,2017
87835,,16.34867,-61.68682,1,2017
88468,,41.92303,8.76775,10,2017
88458,,41.93295,8.7463,7,2017
88246,,41.9304,8.7525,17,2017
25738,,48.28858,-4.41693,6,1995
36093,,41.69562,8.87777,2,1987
26860,,45.60965,-1.02893,12,1944
24762,,49.48838,0.08995,0,1953
89079,,49.4343,0.22423,2,2018
63216,foul ground,69.01247,33.0563,6,2003
89548,,69.02377,33.0619,10,2018
89569,,69.02007,33.06223,5,2018
89530,,69.04757,33.03932,0,2018
64313,,69.01622,33.06082,2,2004
89540,,69.03525,33.06685,5,2018
55367,,69.0567,33.05283,27,1980
55330,,69.05442,33.03595,5,1985
87824,,-17.68542,178.839,14,2017
85701,,53.32473,-2.9487,0,20160805
51632,,-38.57493,-58.68657,1,1924
51625,,-38.58203,-58.6958,5,1935
89598,,-38.57767,-58.69705,1,2018
51629,,-38.581,-58.69488,3,1948
51628,,-38.5772,-58.70265,1,1978
76103,foul area,-38.57178,-58.71552,2,2010
51630,,-38.58168,-58.69608,3,1959
89599,,-38.57372,-58.68077,0,2018
89597,,-38.57725,-58.69798,2,2018
26831,,45.71738,-1.2686,7,1912
68881,,22.55677,88.26465,5,2006
68887,,22.48247,88.15135,5,2006
44745,,22.45752,88.12033,-1,1964
44741,,22.48037,88.14747,7,1959
55422,,69.00293,33.05693,3,1994
61444,,69.00602,33.0167,1,2002
55437,,68.9961,33.0513,10,1994
35578,,42.98915,3.07557,12,1987
89723,,43.12388,3.1648,20,2018
90007,,6.09162,125.156,23,2018
90008,,6.0927,125.15807,31,2018
90006,,6.0895,125.15447,17,2018
89851,foul ground,46.44405,30.8388,19,2018
86475,foul ground,37.71012,24.06473,12,2016
86474,foul ground,37.71173,24.05737,6,2016
12490,,51.45988,-3.65202,2,1929
12486,,51.45358,-3.66367,-4,1968
36123,,43.10392,6.0056,2,1987
90911,,3.83167,103.3806,5,2018
46250,foul ground,5.35683,100.353,7,1986
46247,foul ground,5.36103,100.32248,8,1986
46290,,5.3047,100.30027,4,1988
91061,,40.82277,14.31145,7,2019
91062,,40.8219,14.30902,8,2019
26283,,47.72548,-3.369,1,1987
78446,,68.93628,33.02835,6,2011
55453,,68.93425,33.03133,2,1993
26279,,47.72607,-3.36995,2,1987
26249,,47.74003,-3.34548,0,1980
55450,,68.93475,33.03042,1,1993
55448,,68.92562,33.01557,0,1993
55451,,68.93458,33.03068,5,1993
91159,,47.74015,-3.34298,0,2019
86944,,39.87028,25.05888,7,2016
88273,foul ground,51.29458,2.96333,6,2017
87820,,40.8437,14.27417,5,2017
87931,foul ground,53.53505,9.80565,0,2017
26188,,47.7059,-3.37882,0,1922
46269,,5.35198,100.33455,5,1986
26280,,47.72443,-3.35297,8,1947
26247,,47.7402,-3.3439,0,1967
30173,foul area,54.55203,7.45025,28,1991
29132,foul ground,53.80403,6.83612,20,1989
3454,foul ground,55.08562,-7.53338,16,1961
57964,foul ground,57.26992,-5.80592,35,1999
87264,,49.33195,-0.27015,9,2017
30095,foul area,54.17495,7.94013,19,2016
67056,,51.41263,0.57085,0,2003
39151,,36.73933,24.38725,60,1946
39153,,36.7106,24.4578,44,1946
23569,,49.67572,-1.64822,14,1982
35152,foul ground,36.18692,-6.18567,25,1988
35113,foul ground,36.23317,-6.16892,25,1988
64287,,44.12733,9.62867,50,2004
92952,foul ground,51.48758,0.17583,1,2019
84496,foul ground,53.7034,6.86237,0,1979
92599,foul ground,51.47637,0.46253,-3,2019
4168,foul ground,55.96042,-4.81307,11,1987
26976,,45.23518,-0.7463,0,1982
57955,,50.84957,-1.17427,-3,1982
61521,,28.91488,-13.62833,18,2002
12741,,51.42338,0.73523,-3,1973
12712,foul ground,51.40208,0.94562,-2,1973
64330,foul ground,55.87308,-5.04317,45,2003
1110,foul ground,58.92267,-3.08382,20,1980
37363,foul ground,40.78433,14.36095,7,1994
36951,,40.81397,14.08032,10,1976
36990,foul ground,40.78612,14.35775,10,1985
68850,,40.7898,14.09402,13,2006
38943,,35.49392,24.08922,26,1945
38817,foul ground,35.47935,24.1546,28,1983
35641,foul area,41.45392,2.29392,30,1992
2008,foul ground,57.30553,-5.81443,150,1988
35632,foul ground,41.58033,2.616,28,1982
57963,foul ground,57.278,-5.81758,40,1999
58519,foul ground,57.87808,10.19942,70,1999
86249,,56.55398,20.97158,7,2016
90458,foul ground,53.6712,8.39883,0,2018
82505,,37.06562,14.2277,2,2015
78325,,37.04138,14.24178,10,2011
23907,,49.3764,-0.87372,5,1955
78329,,37.03017,14.23143,13,2011
90456,,40.04137,17.95618,25,2018
82350,,40.7716,14.37147,13,2015
87819,,40.73232,14.46435,5,2017
36955,foul area,40.8269,14.24863,10,1984
71345,,40.74772,14.44165,10,2008
68780,foul ground,40.83113,14.25263,12,2005
83413,foul area,55.28452,10.79172,1,2015
88766,,55.67645,11.08597,2,2018
86245,,56.5424,21.04617,9,2016
86238,,56.54787,21.03532,8,2016
86248,,56.54082,21.02845,4,2016
86241,,56.5446,21.03423,8,2016
86240,,56.54647,21.03508,8,2016
94344,,43.972,8.17125,40,2020
83955,foul area,54.05388,8.6598,0,2015
83953,foul area,54.05655,8.6572,0,2015
85707,,53.88945,8.70673,27,2016
87802,,35.84275,-5.56925,5,2017
94639,,35.84448,-5.57038,10,2020
94643,,35.841,-5.57503,6,2020
94644,,35.84143,-5.57408,6,2020
18302,,50.54915,-3.4873,1,1976
82170,foul ground,44.2724,8.50032,61,2015
35876,foul ground,44.34027,8.56162,37,1971
74359,,42.0916,14.96602,27,2009
72978,,42.29502,14.50713,12,2008
70502,,65.68378,-18.07948,21,2007
52663,,10.66852,-61.72363,100,1979
96642,,38.70143,20.71398,1,2021
96669,,45.75812,13.6399,8,2020
82044,,45.63075,13.19433,15,2014
96675,,59.90992,30.22015,5,2020
96679,foul ground,54.32035,13.56538,10,2016
29301,foul ground,53.6499,7.14737,1,1985
29069,foul ground,53.6653,6.97492,0,1985
10567,foul ground,52.77802,1.87628,20,1969
98734,,32.07758,23.97123,3,2014
98733,,32.07577,23.97065,3,2014
98793,foul area,32.0725,23.99952,7,2014
98794,foul area,32.07217,24.00022,7,2014
98205,,45.44968,12.58342,13,2021
39001,foul ground,37.95332,21.14498,20,1990
75252,,59.46382,24.72053,2,1977
88146,,59.48702,24.6984,2,2017
95845,,59.48453,24.69845,2,2019
88143,,59.48847,24.7136,7,2017
88144,,59.48527,24.71573,5,2017
88145,,59.4863,24.7203,15,2017
88142,,59.48143,24.7259,17,2017
95333,,59.48447,24.70112,1,2019
95572,diffuser,50.80073,-0.2283,7,2017
97972,,37.2311,15.19135,2,2021
97973,,37.23052,15.19193,5,2021
78125,foul ground,37.2129,15.18753,6,2011
97965,,37.2432,15.21468,2,2021
97964,,37.24343,15.21127,3,2021
97967,,37.24527,15.20893,1,2021
97966,,37.2447,15.20912,1,2021
78124,foul ground,37.21133,15.18632,5,2011
97961,foul area,37.16338,15.22618,18,2021
34889,foul ground,36.14058,-5.3669,20,1980
99193,foul area,53.34548,-2.71778,0,2018
35685,,41.08888,1.22887,21,1997
71989,,56.4609,-2.95608,5,2008
96466,foul area,36.13402,-5.35767,7,2019
96483,foul area,36.1396,-5.36017,7,2019
83561,foul area,36.1444,-5.36435,11,2015
34888,,36.13873,-5.36643,27,20190625
95497,foul area,36.12905,-5.35713,12,2015
83566,foul area,36.13252,-5.35982,12,2015
95494,foul area,36.13715,-5.36382,12,2015
83568,foul area,36.13238,-5.35727,12,2015
83567,foul area,36.13282,-5.35877,11,2015
83564,foul area,36.13668,-5.36435,11,2015
95493,foul area,36.13827,-5.36268,12,2015
83565,foul area,36.1309,-5.36087,12,2015
96488,foul area,36.13887,-5.3591,7,2019
83560,foul area,36.14158,-5.36333,10,2015
83562,foul area,36.14597,-5.36345,11,2015
